domain,name,type,credibility,bias
cdc.gov,Centers for Disease Control and Prevention,government,high,center
politifact.com,PolitiFact,fact-checker,high,center
factcheck.org,FactCheck.org,fact-checker,high,center
annenbergclassroom.org,FlackCheck,fact-checker,high,center
snopes.com,Snopes,fact-checker,high,center
truthorfiction.com,Truth or Fiction,fact-checker,high,center
abcnews.go.com,ABC News,news,high,center
reuters.com,Reuters,news,high,center
apnews.com,Associated Press,news,high,center
csmonitor.com,Christian Science Monitor,news,high,center
pbs.org,PBS,news,high,center
nytimes.com,New York Times,news,high,left
npr.org,NPR,news,high,left
washingtonpost.com,Washington Post,news,high,left
cnn.com,CNN,news,high,left
wsj.com,Wall Street Journal,news,high,right
economist.com,The Economist,news,high,right
ft.com,Financial Times,news,high,right
aljazeera.com,Al Jazeera,news,high,left
axios.com,Axios,news,high,center
bbc.com,BBC,news,high,center
buzzfeednews.com,BuzzFeed News,news,high,left
cbsnews.com,CBS News,news,high,left
chicagotribune.com,Chicago Tribune,news,high,left
christianitytoday.com,Christianity Today,news,high,center
cnbc.com,CNBC,news,high,center
denverpost.com,Denver Post,news,high,left
firstdraftnews.org,First Draft News,fact-checker,high,center
thefiscaltimes.com,Fiscal Times,news,high,center
fivethirtyeight.com,Five Thirty Eight,news,high,center
foreignaffairs.com,Foreign Affairs,news,high,center
foreignpolicy.com,Foreign Policy,news,high,center
fortune.com,Fortune,news,high,center
hbr.org,Harvard Business Review,news,high,center
houstonchronicle.com,Houston Chronicle,news,high,left
jacobinmag.com,Jacobin,news,high,left
latimes.com,Los Angeles Times,news,high,left
marketwatch.com,MarketWatch,news,high,center
militarytimes.com,Military Times,news,high,center
motherjones.com,Mother Jones,news,high,left
nationalreview.com,National Review,news,high,right
newsy.com,Newsy,news,high,center
ozy.com,OZY,news,high,center
pewresearch.org,Pew Research,research,high,center
politico.com,Politico,news,high,left
poynter.org,Poynter,media-watchdog,high,center
propublica.org,ProPublica,news,high,left
rand.org,Rand Corporation,research,high,center
reason.com,Reason,news,high,right
rollcall.com,Roll Call,news,high,center
slate.com,Slate,news,high,left
theatlantic.com,The Atlantic,news,high,left
theconversation.com,The Conversation,news,high,left
theguardian.com,The Guardian,news,high,left
huffpost.com,The Huffington Post,news,high,left
newyorker.com,The New Yorker,news,high,left
weather.com,The Weather Channel,news,high,center
time.com,Time,news,high,left
usatoday.com,USA Today,news,high,center
vice.com,Vice Media,news,high,left
warontherocks.com,War On The Rocks,news,high,center
vox.com,Vox,news,high,left
rt.com,Russia Today (RT),state-media,low,right
sputniknews.com,Sputnik,state-media,low,right
amgreatness.com,American Greatness,news,low,right
redstate.com,Red State,news,low,right
redstatewatcher.com,Red State Watcher,news,low,right
dcclothesline.com,DC Clothesline,news,low,right
dcdirtylaundry.com,DC Dirty Laundry,news,low,right
breitbart.com,Breitbart,news,low,right
theepochtimes.com,Epoch Times,news,low,right
thegatewaypundit.com,Gateway Pundit,news,low,right
zerohedge.com,Zero Hedge,news,low,right
bigleaguepolitics.com,Big League Politics,news,low,right
activistpost.com,Activist Post,news,low,right
westernjournal.com,Western Journal,news,low,right
intellihub.com,Intellihub,news,low,right
infowars.com,Infowars,news,low,right
wnd.com,WorldNetDaily (WND),news,low,right
worldtruth.tv,World Truth.TV,news,low,right
21stcenturywire.com,21st Century Wire,news,low,right
thefederalist.com,The Federalist,news,low,right
19thnews.org,19th News,news,medium,left
advocate.com,Advocate Magazine,news,high,left
airforcetimes.com,Air Force Times,news,high,center
ajc.com,Atlanta Journal-Constitution,news,high,center
al.com,AL.com,news,high,center
alternet.org,AlterNet,news,medium,left
americanthinker.com,American Thinker,news,low,right
aol.com,AOL,news,high,center
arkansasonline.com,Arkansas Democrat-Gazette,news,high,center
armchairexpertpod.com,Armchair Expert with Dax Shepard,news,high,left
armytimes.com,Army Times,news,high,center
arstechnica.com,ARS Technica,news,high,center
aspentimes.com,Aspen Times,news,high,center
atlantablackstar.com,Atlanta Black Star,news,high,center
